"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
-1.622164130210877,-1.746878981590271,-0.6387653946876526,-1.62216416482557,-1.746878983182898,-0.6387654033130212,1.0,0.0,22288.0,2.468,10775130216037.0,330216037.0,-15.0
-3.628369092941284,-3.905957221984863,0.09305623173713684,-3.628369204204291,-3.905957175370846,0.09305623112359568,84.0,1.0,22289.0,5.332,10775130216039.0,330216039.0,1.0
-1.565326690673828,-1.684492230415344,-0.5308845043182373,-1.565326727764063,-1.684492177328637,-0.5308844882515213,39.0,2.0,22290.0,2.36,10775130216041.0,330216041.0,-13.0
-4.536396980285645,-4.880036354064941,0.3491854965686798,-4.536397096362575,-4.880036359563931,0.3491855000529212,26.0,3.0,22291.0,6.672,10775130216044.0,330216044.0,3.0
-1.563914656639099,-1.68238365650177,-0.4464930593967438,-1.563914670949749,-1.682383683652778,-0.4464930491811148,42.0,4.0,22291.0,2.34,10775130216046.0,330216046.0,-11.0
-4.532969951629639,-4.874643325805664,0.5823746919631958,-4.532969985852495,-4.874643253363486,0.5823746730398519,39.0,5.0,22292.0,6.682,10775130216048.0,330216048.0,5.0
-1.649506568908691,-1.773217558860779,-0.3835773169994354,-1.649506521170459,-1.773217607962949,-0.3835773082786461,5.0,6.0,22293.0,2.452,10775130216051.0,330216051.0,-9.0
-4.539700031280518,-4.878464698791504,0.8182307481765747,-4.539700061319067,-4.878464692670253,0.8182307716221602,60.0,7.0,22294.0,6.714,10775130216053.0,330216053.0,7.0
-1.643363118171692,-1.765377402305603,-0.2961425185203552,-1.643363123483649,-1.765377370824049,-0.2961425044745084,1.0,8.0,22295.0,2.43,10775130216055.0,330216055.0,-7.0
-4.539368629455566,-4.874695301055908,1.054993987083435,-4.539368658729865,-4.874695454292231,1.054994032231317,65.0,9.0,22296.0,6.744,10775130216058.0,330216058.0,9.0
-1.65650224685669,-1.778869390487671,-0.212660014629364,-1.65650220567583,-1.778869349265946,-0.2126600123042859,6.0,10.0,22296.0,2.44,10775130216060.0,330216060.0,-5.0
-4.525739192962647,-4.858358860015869,1.290632009506226,-4.525739216429374,-4.8583587218316,1.290632044726949,45.0,11.0,22297.0,6.764,10775130216062.0,330216062.0,11.0
-1.65845000743866,-1.779715061187744,-0.1274903863668442,-1.658450048716679,-1.779715043629258,-0.1274903894078112,11.0,12.0,22298.0,2.436,10775130216064.0,330216064.0,-3.0
-4.512566566467285,-4.840828895568848,1.527867555618286,-4.512566781079379,-4.840829036645112,1.527867561103531,50.0,13.0,22299.0,6.792,10775130216067.0,330216067.0,13.0
-1.632455348968506,-1.750594139099121,-0.04178106039762497,-1.632455405250973,-1.750594097101807,-0.04178106101085673,9.0,14.0,22300.0,2.394,10775130216069.0,330216069.0,-1.0
-4.5397047996521,-4.866534233093262,1.783263206481934,-4.539704664622246,-4.866534068873315,1.783263220756368,26.0,15.0,22301.0,6.890000000000001,10775130216071.0,330216071.0,15.0
-1.621654629707336,-1.734150767326355,-0.6361772418022156,-1.621654572099735,-1.734150801580754,-0.636177212861996,10.0,0.0,22308.0,2.458,10775130216092.0,330216092.0,-15.0
-3.640615463256836,-3.891807556152344,0.09302132576704025,-3.640615349320602,-3.891807666257755,0.09302132631072112,87.0,1.0,22309.0,5.33,10775130216094.0,330216094.0,1.0
-1.559213399887085,-1.666211843490601,-0.5268353819847107,-1.559213459060399,-1.666211836102342,-0.5268353692733319,41.0,2.0,22310.0,2.342,10775130216097.0,330216097.0,-13.0
-4.55203914642334,-4.86271333694458,0.3490808308124542,-4.552039035657849,-4.862713562741686,0.3490808281404353,26.0,3.0,22311.0,6.67,10775130216099.0,330216099.0,3.0
-1.559044241905212,-1.665448307991028,-0.4434401094913483,-1.559044234900832,-1.665448271989807,-0.4434401052550901,39.0,4.0,22311.0,2.324,10775130216101.0,330216101.0,-11.0
-4.552681922912598,-4.861699104309082,0.5827233195304871,-4.552681760115389,-4.861699121850189,0.5827232960108425,35.0,5.0,22312.0,6.686,10775130216104.0,330216104.0,5.0
-1.631377577781677,-1.741499423980713,-0.3779456615447998,-1.63137755048035,-1.741499457415533,-0.3779456675371978,19.0,6.0,22313.0,2.416,10775130216106.0,330216106.0,-9.0
-4.541770458221436,-4.846654891967773,0.8155496716499329,-4.541770319735893,-4.846655046273224,0.8155496460672469,50.0,7.0,22314.0,6.692,10775130216108.0,330216108.0,7.0
-4.552806854248047,-4.856733322143555,1.054368257522583,-4.552806809899613,-4.85673322837034,1.054368294371156,63.0,9.0,22315.0,6.74,10775130216113.0,330216113.0,9.0
-1.67905592918396,-1.790516376495361,-0.2147517502307892,-1.679055967753387,-1.790516334180658,-0.2147517501302297,51.0,10.0,22316.0,2.464,10775130216115.0,330216115.0,-5.0
-4.542670249938965,-4.842531204223633,1.290632009506226,-4.542670480825342,-4.842531345046928,1.290632044726949,45.0,11.0,22317.0,6.764,10775130216117.0,330216117.0,11.0
-1.661918878555298,-1.771002292633057,-0.1272810399532318,-1.661918890479422,-1.771002297260786,-0.1272810455828394,30.0,12.0,22318.0,2.432,10775130216120.0,330216120.0,-3.0
-4.530770778656006,-4.826468467712402,1.528317451477051,-4.530770692165199,-4.826468550260889,1.528317463212219,53.0,13.0,22319.0,6.794000000000001,10775130216122.0,330216122.0,13.0
-1.635818362236023,-1.741969704627991,-0.04171125218272209,-1.635818402152177,-1.741969668704994,-0.0417112513851076,8.0,14.0,22320.0,2.39,10775130216124.0,330216124.0,-1.0
-4.557140350341797,-4.852861404418945,1.783780813217163,-4.557140155771491,-4.852861367097517,1.783780858846573,24.0,15.0,22320.0,6.892,10775130216127.0,330216127.0,15.0
-1.554855585098267,-1.651126980781555,-0.607707142829895,-1.554855542581053,-1.651126978932202,-0.6077071179007186,14.0,0.0,22328.0,2.348,10775130216147.0,330216147.0,-15.0
-3.655549287796021,-3.880531311035156,0.09305623173713684,-3.65554928716017,-3.880531400078068,0.09305623112359568,87.0,1.0,22329.0,5.332,10775130216150.0,330216150.0,1.0
-1.570366024971008,-1.666432023048401,-0.5286349654197693,-1.570366051485965,-1.666431974214355,-0.5286349777080828,59.0,2.0,22330.0,2.35,10775130216152.0,330216152.0,-13.0
-4.563505172729492,-4.840981006622315,0.3486621379852295,-4.563505298669827,-4.840981109320816,0.3486621404904918,32.0,3.0,22331.0,6.662,10775130216154.0,330216154.0,3.0
-1.563501596450806,-1.658567428588867,-0.4430584907531738,-1.563501550808488,-1.658567477518624,-0.4430584872643371,30.0,4.0,22331.0,2.322,10775130216157.0,330216157.0,-11.0
-4.569624423980713,-4.84577751159668,0.5827233195304871,-4.569624520540212,-4.845777677686409,0.5827232960108425,35.0,5.0,22332.0,6.686,10775130216159.0,330216159.0,5.0
-1.646935105323792,-1.745852708816528,-0.3801357448101044,-1.646935094060885,-1.745852687796509,-0.380135750047761,14.0,6.0,22333.0,2.43,10775130216161.0,330216161.0,-9.0
-4.557298183441162,-4.829328060150147,0.8153058886528015,-4.557298212023103,-4.829328036495512,0.8153059073804366,54.0,7.0,22334.0,6.69,10775130216164.0,330216164.0,7.0
-1.65837299823761,-1.756748676300049,-0.2966299951076508,-1.658372980734364,-1.756748619079862,-0.296629981848129,25.0,8.0,22335.0,2.434,10775130216166.0,330216166.0,-7.0
-4.573289394378662,-4.842885971069336,1.054993987083435,-4.573289555357401,-4.842886147207595,1.054994032231317,65.0,9.0,22336.0,6.744,10775130216168.0,330216168.0,9.0
-1.683927893638611,-1.783195853233337,-0.2145774364471436,-1.683927871837658,-1.783195851630707,-0.2145774386447344,39.0,10.0,22336.0,2.462,10775130216170.0,330216170.0,-5.0
-4.55954647064209,-4.826644897460938,1.290632009506226,-4.559546394215082,-4.826644963546022,1.290632044726949,47.0,11.0,22337.0,6.764,10775130216173.0,330216173.0,11.0
-1.662603616714478,-1.759383797645569,-0.1268623620271683,-1.662603576659088,-1.759383781049522,-0.1268623579328958,38.0,12.0,22338.0,2.424,10775130216175.0,330216175.0,-3.0
-4.538219451904297,-4.800710678100586,1.525168180465698,-4.538219653398653,-4.800710832413834,1.525168148451405,50.0,13.0,22339.0,6.78,10775130216177.0,330216177.0,13.0
-1.650132894515991,-1.744966506958008,-0.04192068055272102,-1.650132839444604,-1.744966552330683,-0.041920680262355,12.0,14.0,22340.0,2.402,10775130216180.0,330216180.0,-1.0
-4.580206394195557,-4.841739654541016,1.785851359367371,-4.580206556822692,-4.841739628886192,1.785851411207393,24.0,15.0,22341.0,6.9,10775130216182.0,330216182.0,15.0
-1.555292367935181,-1.640082359313965,-0.6056365370750427,-1.555292339826089,-1.640082341883884,-0.6056365655398985,27.0,0.0,22348.0,2.34,10775130216203.0,330216203.0,-15.0
-3.680082559585571,-3.879353761672974,0.09333547204732895,-3.680082569015204,-3.879353654326972,0.09333546962659221,87.0,1.0,22349.0,5.348,10775130216205.0,330216205.0,1.0
-1.581539154052734,-1.666594505310059,-0.5304346084594727,-1.581539114147861,-1.666594485843476,-0.5304345861428337,46.0,2.0,22350.0,2.358,10775130216207.0,330216207.0,-13.0
-4.581750869750977,-4.826470375061035,0.3487668037414551,-4.58175074904901,-4.826470530745536,0.3487668124029776,32.0,3.0,22351.0,6.664,10775130216210.0,330216210.0,3.0
-1.565226554870606,-1.648828148841858,-0.4419136345386505,-1.565226515362198,-1.64882815851674,-0.4419136332920777,11.0,4.0,22351.0,2.316,10775130216212.0,330216212.0,-11.0
-4.587883472442627,-4.831242084503174,0.5828976035118103,-4.587883576286016,-4.83124193863442,0.5828976074963378,42.0,5.0,22352.0,6.688,10775130216214.0,330216214.0,5.0
-1.658461213111877,-1.745821833610535,-0.3813872337341309,-1.658461262120087,-1.745821876958807,-0.3813872257680829,5.0,6.0,22353.0,2.438,10775130216217.0,330216217.0,-9.0
-4.580965042114258,-4.82058572769165,0.8165246248245239,-4.580965209654965,-4.820585578972287,0.8165246008144881,52.0,7.0,22354.0,6.7,10775130216219.0,330216219.0,7.0
-1.667230486869812,-1.75382661819458,-0.2971174716949463,-1.667230481272205,-1.753826598538882,-0.2971174592217496,23.0,8.0,22355.0,2.438,10775130216221.0,330216221.0,-7.0
-4.583879947662354,-4.821967124938965,1.053742527961731,-4.583879961094923,-4.821967142865044,1.053742556510995,65.0,9.0,22355.0,6.736,10775130216223.0,330216223.0,9.0
-1.676412343978882,-1.762869119644165,-0.2128343284130096,-1.676412297449976,-1.76286907045743,-0.2128343237897813,32.0,10.0,22356.0,2.442,10775130216226.0,330216226.0,-5.0
-4.576366901397705,-4.810699939727783,1.290632009506226,-4.576366750970911,-4.810699770899436,1.290632044726949,48.0,11.0,22357.0,6.764,10775130216228.0,330216228.0,11.0
-1.672865390777588,-1.757910013198853,-0.1271763741970062,-1.672865374783973,-1.757910011300049,-0.1271763736703535,38.0,12.0,22358.0,2.43,10775130216230.0,330216230.0,-3.0
-4.558980464935303,-4.789074420928955,1.526517868041992,-4.558980541933877,-4.78907461388042,1.526517854777468,49.0,13.0,22359.0,6.786000000000001,10775130216233.0,330216233.0,13.0
-1.645181655883789,-1.727610945701599,-0.04164144024252892,-1.645181624054642,-1.727610897801103,-0.04164144175935846,19.0,14.0,22360.0,2.386,10775130216235.0,330216235.0,-1.0
-4.594904899597168,-4.825125694274902,1.785333752632141,-4.594904917839756,-4.825125502469255,1.785333773117188,24.0,15.0,22360.0,6.898000000000001,10775130216237.0,330216237.0,15.0
-1.543663263320923,-1.616480708122253,-0.5989072918891907,-1.543663288865137,-1.616480662461306,-0.598907270367233,25.0,0.0,22368.0,2.314,10775130216258.0,330216258.0,-15.0
-3.699126720428467,-3.872267961502075,0.0934750884771347,-3.699126828124192,-3.872267955244198,0.09347508887809049,84.0,1.0,22369.0,5.356,10775130216260.0,330216260.0,1.0
-1.580615282058716,-1.654019355773926,-0.5281850695610046,-1.580615227874574,-1.654019355184537,-0.528185075599395,31.0,2.0,22370.0,2.348,10775130216263.0,330216263.0,-13.0
-4.598570346832275,-4.810447692871094,0.3487668037414551,-4.598570361644214,-4.810447831499024,0.3487668124029776,26.0,3.0,22371.0,6.664,10775130216265.0,330216265.0,3.0
-1.572329044342041,-1.644773602485657,-0.442295253276825,-1.572329089428037,-1.644773584792465,-0.4422952512828309,4.0,4.0,22371.0,2.318,10775130216267.0,330216267.0,-11.0
-4.593703746795654,-4.803678035736084,0.5815030932426453,-4.593703730746716,-4.803678190788472,0.5815031156123752,45.0,5.0,22372.0,6.672,10775130216270.0,330216270.0,5.0
-1.690489768981934,-1.76714301109314,-0.3873317241668701,-1.690489724937936,-1.767143066251457,-0.3873317354396116,1.0,6.0,22373.0,2.476,10775130216272.0,330216272.0,-9.0
-4.603254318237305,-4.810302257537842,0.817499577999115,-4.603254152523355,-4.81030245243819,0.8174995555617293,56.0,7.0,22374.0,6.708,10775130216274.0,330216274.0,7.0
-1.673342347145081,-1.747996211051941,-0.2971174716949463,-1.673342321231818,-1.74799619318811,-0.2971174592217496,16.0,8.0,22375.0,2.438,10775130216276.0,330216276.0,-7.0
-4.601522445678711,-4.805133819580078,1.053742527961731,-4.601522565133965,-4.805133994714468,1.053742556510995,67.0,9.0,22376.0,6.736,10775130216279.0,330216279.0,9.0
-1.661885380744934,-1.735421657562256,-0.2102196514606476,-1.661885428811953,-1.735421712328919,-0.2102196515073515,16.0,10.0,22376.0,2.412,10775130216281.0,330216281.0,-5.0
-4.593131542205811,-4.794695854187012,1.290632009506226,-4.593131346142093,-4.794695961394305,1.290632044726949,45.0,11.0,22377.0,6.764,10775130216283.0,330216283.0,11.0
-1.676227688789368,-1.749175906181335,-0.1269670277833939,-1.676227662276297,-1.749175862385478,-0.1269670298453818,36.0,12.0,22378.0,2.426,10775130216286.0,330216286.0,-3.0
-4.578366756439209,-4.77594518661499,1.527417659759522,-4.578366880489227,-4.77594514233885,1.527417658994843,49.0,13.0,22379.0,6.79,10775130216288.0,330216288.0,13.0
-1.649818062782288,-1.720414280891419,-0.04160653799772263,-1.649818012956332,-1.720414316438962,-0.04160653694648389,18.0,14.0,22380.0,2.384,10775130216290.0,330216290.0,-1.0
-4.609884262084961,-4.805463790893555,1.784298539161682,-4.609884301250866,-4.805463724023933,1.784298496936778,26.0,15.0,22381.0,6.894,10775130216293.0,330216293.0,15.0
-1.546337604522705,-1.608567357063294,-0.5978720188140869,-1.546337603456559,-1.608567404463767,-0.5978719941868229,37.0,0.0,22387.0,2.31,10775130216313.0,330216313.0,-15.0
-3.706403017044067,-3.854214429855347,0.09333547204732895,-3.706403034780306,-3.854214450945993,0.09333546962659221,87.0,1.0,22388.0,5.348,10775130216316.0,330216316.0,1.0
-1.568528294563294,-1.630511522293091,-0.5223363637924194,-1.568528269582738,-1.630511516942773,-0.5223363481864546,21.0,2.0,22389.0,2.322,10775130216318.0,330216318.0,-13.0
-4.629731178283691,-4.811002254486084,0.3499182164669037,-4.62973103100024,-4.811002372842332,0.3499182034403224,36.0,3.0,22390.0,6.686,10775130216320.0,330216320.0,3.0
-1.5832200050354,-1.645208954811096,-0.4438217282295227,-1.583220006657932,-1.645209010579856,-0.4438217232458432,1.0,4.0,22390.0,2.326,10775130216323.0,330216323.0,-11.0
-4.612371444702148,-4.791289329528809,0.5818517208099365,-4.61237159791301,-4.791289262513057,0.5818517385833659,39.0,5.0,22391.0,6.676,10775130216325.0,330216325.0,5.0
-1.668936014175415,-1.733069896697998,-0.3810743689537048,-1.668935956332191,-1.733069850935634,-0.3810743568380024,1.0,6.0,22392.0,2.436,10775130216327.0,330216327.0,-9.0
-4.619180202484131,-4.795011043548584,0.817499577999115,-4.619180380038256,-4.79501106289923,0.8174995555617293,56.0,7.0,22393.0,6.708,10775130216329.0,330216329.0,7.0
-1.677752256393433,-1.741008162498474,-0.2968737185001373,-1.67775222001497,-1.741008179845971,-0.2968737205349393,19.0,8.0,22394.0,2.436,10775130216332.0,330216332.0,-7.0
-4.613853931427002,-4.787809371948242,1.053116798400879,-4.613854160052656,-4.787809390111469,1.053116818650834,65.0,9.0,22394.0,6.732,10775130216334.0,330216334.0,9.0
-1.677310585975647,-1.739942073822022,-0.2114398330450058,-1.677310608144601,-1.739942045382325,-0.2114398319058187,23.0,10.0,22395.0,2.426,10775130216336.0,330216336.0,-5.0
-4.598103523254395,-4.76813268661499,1.28757905960083,-4.598103437825259,-4.768132635973985,1.287579100800924,45.0,11.0,22396.0,6.748,10775130216339.0,330216339.0,11.0
-1.682018876075745,-1.743607640266419,-0.1269670277833939,-1.682018921995755,-1.743607673583848,-0.1269670298453818,33.0,12.0,22397.0,2.426,10775130216341.0,330216341.0,-3.0
-4.59147310256958,-4.757931709289551,1.526517868041992,-4.591472873421425,-4.75793191330864,1.526517854777468,49.0,13.0,22398.0,6.786000000000001,10775130216343.0,330216343.0,13.0
-1.662458300590515,-1.722127318382263,-0.04178106039762497,-1.662458311468499,-1.722127377858594,-0.04178106101085673,17.0,14.0,22399.0,2.394,10775130216346.0,330216346.0,-1.0
-4.616908073425293,-4.782618522644043,1.781192660331726,-4.616907930944791,-4.782618303318073,1.781192668395548,26.0,15.0,22399.0,6.882000000000001,10775130216348.0,330216348.0,15.0
-1.547912120819092,-1.598995804786682,-0.5963190793991089,-1.547912109606813,-1.598995827343047,-0.5963190799162078,41.0,0.0,22407.0,2.304,10775130216369.0,330216369.0,-15.0
-3.730962991714478,-3.852745294570923,0.09361470490694046,-3.73096307128248,-3.852745364950585,0.09361470812958876,78.0,1.0,22408.0,5.364,10775130216371.0,330216371.0,1.0
-1.557939410209656,-1.608230233192444,-0.5169374942779541,-1.557939353816442,-1.60823025940517,-0.5169375228822017,18.0,2.0,22409.0,2.298,10775130216373.0,330216373.0,-13.0
-4.632596969604492,-4.780469417572022,0.3488714694976807,-4.632597175890055,-4.780469442781433,0.3488714843154636,32.0,3.0,22410.0,6.666,10775130216376.0,330216376.0,3.0
-1.591685771942139,-1.642492294311523,-0.4445849657058716,-1.591685719974754,-1.642492247426838,-0.4445849592273494,1.0,4.0,22410.0,2.33,10775130216378.0,330216378.0,-11.0
-4.633228778839111,-4.779451370239258,0.5823746919631958,-4.633228555336651,-4.779451526505397,0.5823746730398519,35.0,5.0,22411.0,6.682,10775130216380.0,330216380.0,5.0
-0.4070547521114349,-0.4197546541690826,-0.09260920435190201,-0.407054760323478,-0.419754639713998,-0.09260920330381667,11.0,6.0,22412.0,0.592,10775130216382.0,330216382.0,-9.0
-4.620685577392578,-4.763185024261475,0.8148184418678284,-4.620685779586571,-4.763184843405478,0.814818430006816,54.0,7.0,22413.0,6.686,10775130216385.0,330216385.0,7.0
-1.681054353713989,-1.73229193687439,-0.2963862419128418,-1.681054359203035,-1.732291960458511,-0.2963862431613187,18.0,8.0,22414.0,2.432,10775130216387.0,330216387.0,-7.0
-4.633289813995361,-4.774509906768799,1.053742527961731,-4.633289984345807,-4.774510084349861,1.053742556510995,65.0,9.0,22414.0,6.736,10775130216389.0,330216389.0,9.0
-1.686149477958679,-1.73693573474884,-0.2117884606122971,-1.686149475249274,-1.736935691814033,-0.2117884548768094,38.0,10.0,22415.0,2.43,10775130216392.0,330216392.0,-5.0
-4.622925758361816,-4.760503768920898,1.289868831634522,-4.622925690504729,-4.76050380908334,1.289868808745443,42.0,11.0,22416.0,6.76,10775130216394.0,330216394.0,11.0
-1.678353309631348,-1.727697610855103,-0.1262343227863312,-1.678353315244888,-1.727697613597413,-0.1262343264579805,34.0,12.0,22417.0,2.412,10775130216396.0,330216396.0,-3.0
-4.610769271850586,-4.744670867919922,1.527417659759522,-4.610769394083802,-4.744670788323549,1.527417658994843,50.0,13.0,22418.0,6.79,10775130216399.0,330216399.0,13.0
