Angle: 0.0, Azimuth: 100.3
Angle: 0.0, Azimuth: 100.68
Angle: 348.92000399391173, Azimuth: 101.08
Angle: 348.5100099149099, Azimuth: 101.49
Angle: 348.1200045726386, Azimuth: 101.88
Angle: 347.72999695253395, Azimuth: 102.27
Angle: 0.0, Azimuth: 102.68
Angle: 346.9199964413308, Azimuth: 103.08
Angle: 346.5300094399975, Azimuth: 103.47
Angle: 346.12997717892534, Azimuth: 103.87
Angle: 345.72999652770244, Azimuth: 104.27
Angle: 345.3300152138796, Azimuth: 104.67
Angle: 0.0, Azimuth: 105.07
Angle: 0.0, Azimuth: 105.45
Angle: 0.0, Azimuth: 105.85
Angle: 0.0, Azimuth: 106.25
Angle: 0.0, Azimuth: 106.65
Angle: 0.0, Azimuth: 107.04
Angle: 0.0, Azimuth: 107.45
Angle: 0.0, Azimuth: 107.84
Angle: 0.0, Azimuth: 108.24
Angle: 0.0, Azimuth: 108.64
Angle: 0.0, Azimuth: 109.04
Angle: 0.0, Azimuth: 109.45
Angle: 0.0, Azimuth: 109.83
Angle: 0.0, Azimuth: 110.23
Angle: 0.0, Azimuth: 110.63
Angle: 0.0, Azimuth: 111.03
Angle: 0.0, Azimuth: 111.43
Angle: 338.17003391800057, Azimuth: 111.83
Angle: 337.7799707204456, Azimuth: 112.22
Angle: 337.3800521941113, Azimuth: 112.62
Angle: 336.9800419928026, Azimuth: 113.02
Angle: 0.0, Azimuth: 113.42
Angle: 0.0, Azimuth: 113.82
Angle: 0.0, Azimuth: 114.2
Angle: 0.0, Azimuth: 114.6
Angle: 0.0, Azimuth: 115.01
Angle: 0.0, Azimuth: 115.41
Angle: 334.1999595974304, Azimuth: 115.8
Angle: 333.79008143402496, Azimuth: 116.21
Angle: 333.38996978805244, Azimuth: 116.61
Angle: 333.0100761378938, Azimuth: 116.99
Angle: 332.59008755273004, Azimuth: 117.41
Angle: 332.19008751784025, Azimuth: 117.81
Angle: 331.80998581924155, Azimuth: 118.19
Angle: 331.40002238184127, Azimuth: 118.6
Angle: 331.02009564027225, Azimuth: 118.98
Angle: 330.6099185611645, Azimuth: 119.39
Angle: 330.2200616281432, Azimuth: 119.78
Angle: 329.81990769226115, Azimuth: 120.18
Angle: 0.0, Azimuth: 120.58
Angle: 329.01996520796405, Azimuth: 120.98
Angle: 328.63004964460447, Azimuth: 121.37
Angle: 328.2200692115207, Azimuth: 121.78
Angle: 0.0, Azimuth: 122.17
Angle: 327.42994317171986, Azimuth: 122.57
Angle: 327.0299662633565, Azimuth: 122.97
Angle: 326.6301108785793, Azimuth: 123.37
Angle: 326.24008400217167, Azimuth: 123.76
Angle: 325.8501166881886, Azimuth: 124.15
Angle: 325.45009613428124, Azimuth: 124.55
Angle: 325.04001431412604, Azimuth: 124.96
Angle: 324.6499887857016, Azimuth: 125.35
Angle: 324.24002526015585, Azimuth: 125.76
Angle: 323.8400075880841, Azimuth: 126.16
Angle: 323.4399768061119, Azimuth: 126.56
Angle: 323.05002447312427, Azimuth: 126.95
Angle: 322.6400179727094, Azimuth: 127.36
Angle: 322.25005109696093, Azimuth: 127.75
Angle: 321.8499964477757, Azimuth: 128.15
Angle: 321.45002929087434, Azimuth: 128.55
Angle: 321.0700159704302, Azimuth: 128.93
Angle: 320.67001054883997, Azimuth: 129.33
Angle: 320.2599996840115, Azimuth: 129.74
Angle: 319.8600219558221, Azimuth: 130.14
Angle: 319.46999329299734, Azimuth: 130.53
Angle: 319.0799898464955, Azimuth: 130.92
Angle: 318.66999497483414, Azimuth: 131.33
Angle: 318.27998881166394, Azimuth: 131.72
Angle: 317.8800412042634, Azimuth: 132.12
Angle: 317.4800277677873, Azimuth: 132.52
Angle: 317.0800211447441, Azimuth: 132.92
Angle: 316.69997603611904, Azimuth: 133.3
Angle: 316.29000025424426, Azimuth: 133.71
Angle: 315.89005120449985, Azimuth: 134.11
Angle: 315.49001870537046, Azimuth: 134.51
Angle: 315.10000445506824, Azimuth: 134.9
Angle: 314.70996267956986, Azimuth: 135.29
Angle: 314.3100412677154, Azimuth: 135.69
Angle: 313.90994784037946, Azimuth: 136.09
Angle: 313.50001451973156, Azimuth: 136.5
Angle: 313.11000851354555, Azimuth: 136.89
Angle: 0.0, Azimuth: 137.29
Angle: 312.30002237477464, Azimuth: 137.7
Angle: 311.9100039769354, Azimuth: 138.09
Angle: 311.50999051519545, Azimuth: 138.49
Angle: 311.1199767087646, Azimuth: 138.88
Angle: 310.72002586977766, Azimuth: 139.28
Angle: 310.3200025890686, Azimuth: 139.68
Angle: 309.91999558925596, Azimuth: 140.08
Angle: 309.52002710820284, Azimuth: 140.48
Angle: 309.12999802676444, Azimuth: 140.87
Angle: 308.730020944706, Azimuth: 141.27
Angle: 308.3300251843187, Azimuth: 141.67
Angle: 307.9300314086941, Azimuth: 142.07
Angle: 307.5300156836841, Azimuth: 142.47
Angle: 307.12998823756277, Azimuth: 142.87
Angle: 306.74997674256906, Azimuth: 143.25
Angle: 306.34999779264183, Azimuth: 143.65
Angle: 305.95000711967134, Azimuth: 144.05
Angle: 305.5599681823271, Azimuth: 144.44
Angle: 305.1500083366941, Azimuth: 144.85
Angle: 304.7499973017466, Azimuth: 145.25
Angle: 304.3599810463734, Azimuth: 145.64
Angle: 303.95999328214225, Azimuth: 146.04
Angle: 303.56001119228864, Azimuth: 146.44
Angle: 303.16997672867967, Azimuth: 146.83
Angle: 302.7699858825598, Azimuth: 147.23
Angle: 302.3699837077216, Azimuth: 147.63
Angle: 301.9700424547041, Azimuth: 148.03
Angle: 301.5700107684837, Azimuth: 148.43
Angle: 301.1699954019327, Azimuth: 148.83
Angle: 300.779994531033, Azimuth: 149.22
Angle: 300.3800159444778, Azimuth: 149.62
Angle: 299.9800097870268, Azimuth: 150.02
Angle: 299.57000534633585, Azimuth: 150.43
Angle: 299.1800129989178, Azimuth: 150.82
Angle: 298.7800075412882, Azimuth: 151.22
Angle: 298.3999701571693, Azimuth: 151.6
Angle: 297.99997625962726, Azimuth: 152.0
Angle: 297.59001250545, Azimuth: 152.41
Angle: 297.1999697187109, Azimuth: 152.8
Angle: 296.78997711609884, Azimuth: 153.21
Angle: 0.0, Azimuth: 153.6
Angle: 0.0, Azimuth: 153.99
Angle: 0.0, Azimuth: 154.39
Angle: 0.0, Azimuth: 154.81
Angle: 0.0, Azimuth: 155.19
Angle: 0.0, Azimuth: 155.59
Angle: 0.0, Azimuth: 155.99
Angle: 0.0, Azimuth: 156.4
Angle: 0.0, Azimuth: 156.8
Angle: 0.0, Azimuth: 157.2
Angle: 0.0, Azimuth: 157.58
Angle: 292.0199857765888, Azimuth: 157.98
Angle: 0.0, Azimuth: 158.38
Angle: 291.21997141275887, Azimuth: 158.78
Angle: 0.0, Azimuth: 159.17
Angle: 0.0, Azimuth: 159.57
Angle: 0.0, Azimuth: 159.97
Angle: 0.0, Azimuth: 160.37
Angle: 0.0, Azimuth: 160.77
Angle: 0.0, Azimuth: 161.16
Angle: 0.0, Azimuth: 161.56
Angle: 0.0, Azimuth: 161.96
Angle: 0.0, Azimuth: 162.35
